Rig,Pad Number,Pad Name,Well Name 1,Well Name 2  ,Well Name 3 ,Well Name 4 ,Well Name 5 ,Well Name 6,Well number 1,Well number 2,Well number 3,Well number 4,Well number 5,Well number 6,Spud Date Well 1 ,Spud Date Well 2 ,Spud Date Well 3 ,Spud Date Well 4 ,Spud Date Well 5 ,Spud Date Well 6 ,Complete Well 1,Complete Well 2,Complete Well 3,Complete Well 4,Complete Well 5,Complete Well 6,AFE # well 1,AFE # well 2,AFE # well 2,AFE # well 3,AFE # well 4,AFE # well 5,AFE # well 6,Location Status,AFE Status,Permit status well 1,Permit status well 2,Permit status well 3,Permit status well 4,Permit status well 5,Permit status well 6,Phase Window,Unit ID well 1,Unit ID well 2,Unit ID well 3,Unit ID well 4,Unit ID well 5,Unit ID well 6,Unit Name well 1,Unit Name well 2,Unit Name well 3,Unit Name well 4,Unit Name well 5,Unit Name well 6
,,,,,,,,,,,,,,,,,,,,,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,1/0/1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
